1634965200.0,4036.69000000,4044.55000000,4013.06000000,4019.83000000,6992.80430000,1634966999999,28156582.70419300,14583,2951.32300000,11884323.41223800,0
1634967000.0,4019.82000000,4025.98000000,4006.05000000,4011.36000000,3924.04370000,1634968799999,15756852.92930900,9855,1665.07130000,6686395.38806500,0
1634968800.0,4011.37000000,4018.79000000,4000.00000000,4017.01000000,3891.64210000,1634970599999,15598476.47108600,14466,1804.80030000,7234866.13438600,0
1634970600.0,4017.01000000,4031.18000000,4011.00000000,4029.99000000,3718.37220000,1634972399999,14962340.30717700,14131,1831.33400000,7369473.70924100,0
1634972400.0,4029.99000000,4031.96000000,4004.22000000,4010.57000000,3631.71280000,1634974199999,14585742.51663900,14818,1405.42390000,5644691.45578300,0
1634974200.0,4010.57000000,4025.76000000,4004.19000000,4012.84000000,4870.96780000,1634975999999,19560645.32784700,14509,2412.70580000,9688425.55952500,0
1634976000.0,4012.84000000,4028.00000000,4010.13000000,4026.79000000,4660.08480000,1634977799999,18730019.53239000,18287,1852.20700000,7444352.10887100,0
1634977800.0,4026.80000000,4027.18000000,4013.75000000,4022.69000000,2703.66250000,1634979599999,10868861.55486000,14539,1028.88420000,4136073.93013200,0
1634979600.0,4022.58000000,4030.00000000,3979.99000000,3986.99000000,11287.08760000,1634981399999,45182585.39688000,22913,4684.62780000,18769136.50625100,0
1634981400.0,3987.01000000,4007.21000000,3971.24000000,3997.97000000,4714.99410000,1634983199999,18818432.56340400,15479,2453.51470000,9793706.65660100,0
1634983200.0,3997.87000000,4004.68000000,3980.19000000,3982.49000000,3520.58850000,1634984999999,14052698.72698300,12226,1723.57170000,6879207.95469800,0
1634985000.0,3982.48000000,3992.46000000,3952.51000000,3956.10000000,7835.23960000,1634986799999,31111584.17380500,21109,3614.13730000,14350085.82450500,0
1634986800.0,3956.10000000,4027.00000000,3937.51000000,4024.18000000,20503.26890000,1634988599999,81735851.64171000,57443,10387.03660000,41430690.47856300,0
1634988600.0,4024.19000000,4046.43000000,4018.15000000,4039.20000000,9919.05920000,1634990399999,40030797.05922300,29300,5041.61530000,20347827.88487900,0
1634990400.0,4039.24000000,4057.47000000,4031.71000000,4044.15000000,7216.58200000,1634992199999,29172002.53573400,22708,3885.06800000,15704381.65777600,0
1634992200.0,4044.15000000,4051.65000000,4035.05000000,4039.58000000,4810.85190000,1634993999999,19455220.78339400,15547,2548.08550000,10304776.92652200,0
1634994000.0,4039.58000000,4046.70000000,4021.00000000,4025.30000000,5577.57080000,1634995799999,22510373.27792800,12589,2860.50230000,11547054.53401900,0
1634995800.0,4025.30000000,4039.17000000,4019.01000000,4028.37000000,4232.49610000,1634997599999,17043095.33812000,9580,2162.05700000,8708008.87558900,0
1634997600.0,4028.37000000,4040.89000000,4017.18000000,4022.02000000,4535.09540000,1634999399999,18271013.22078000,15734,2185.15950000,8804387.75382500,0
1634999400.0,4022.15000000,4041.46000000,4020.33000000,4025.30000000,4463.93230000,1635001199999,17986228.23276500,15967,2443.90440000,9847437.69161800,0
1635001200.0,4025.29000000,4095.49000000,4024.25000000,4090.60000000,15394.37860000,1635002999999,62613830.86572500,53212,9367.03160000,38119693.45897400,0
1635003000.0,4090.55000000,4097.50000000,4030.02000000,4086.60000000,21237.33220000,1635004799999,86504095.35740000,49990,12502.69770000,50914009.98281600,0
1635004800.0,4086.61000000,4128.00000000,4083.97000000,4105.08000000,20871.49640000,1635006599999,85725854.29574200,63874,12414.38850000,50988562.14682200,0
1635006600.0,4105.08000000,4108.41000000,4065.00000000,4086.05000000,11627.07780000,1635008399999,47509010.41808000,31325,5627.21150000,22994320.23155900,0
1635008400.0,4086.05000000,4106.46000000,4080.00000000,4091.78000000,6149.67290000,1635010199999,25165385.37912300,16104,3334.89020000,13645145.43335000,0
1635010200.0,4091.78000000,4109.60000000,4085.99000000,4105.55000000,5862.87070000,1635011999999,24012955.24618300,15823,3205.47570000,13129617.40687900,0
1635012000.0,4105.55000000,4118.69000000,4100.15000000,4110.34000000,5946.99860000,1635013799999,24438680.49777300,15087,3165.89220000,13008671.80865200,0
1635013800.0,4110.33000000,4116.76000000,4096.00000000,4112.89000000,5450.22310000,1635015599999,22381368.07656300,13024,2512.23520000,10317328.11763900,0
1635015600.0,4112.89000000,4115.00000000,4086.25000000,4090.73000000,4743.23670000,1635017399999,19436094.52957400,12383,2083.04690000,8535289.00200000,0
1635017400.0,4090.73000000,4092.26000000,4081.47000000,4084.06000000,3197.63420000,1635019199999,13070373.43312200,8888,1528.46210000,6247646.18832000,0
1635019200.0,4084.01000000,4087.00000000,4070.00000000,4079.86000000,4252.57070000,1635020999999,17342682.98633200,17798,2089.14890000,8519613.34514700,0
1635021000.0,4079.86000000,4090.38000000,4073.82000000,4088.68000000,2580.42030000,1635022799999,10531951.11481500,14463,1426.11170000,5820391.35823700,0
1635022800.0,4088.26000000,4095.95000000,4082.96000000,4092.21000000,3174.97790000,1635024599999,12984898.76177500,13931,1332.31720000,5448700.37942100,0
1635024600.0,4092.21000000,4113.51000000,4088.01000000,4091.19000000,3803.27010000,1635026399999,15587438.34645900,17063,1705.63310000,6991232.33122300,0
1635026400.0,4091.19000000,4130.00000000,4084.44000000,4123.45000000,6265.28280000,1635028199999,25786049.27043400,16566,3435.48420000,14140157.24685400,0
1635028200.0,4123.45000000,4123.46000000,4108.63000000,4116.87000000,3605.83670000,1635029999999,14842217.28031100,9586,1856.27730000,7640851.81332500,0
1635030000.0,4116.88000000,4172.00000000,4112.17000000,4171.49000000,18985.93540000,1635031799999,78636625.72345400,53553,11799.60650000,48859908.29933500,0
1635031800.0,4171.49000000,4171.99000000,4149.05000000,4167.12000000,5245.38330000,1635033599999,21827873.97982500,17956,2564.23410000,10671803.81287100,0
1635033600.0,4167.13000000,4186.57000000,4156.29000000,4158.91000000,12621.71690000,1635035399999,52638158.96363900,36877,7475.41060000,31173218.29734800,0
1635035400.0,4158.90000000,4163.45000000,4135.31000000,4140.74000000,6049.87220000,1635037199999,25080785.00284500,18674,2459.09340000,10193815.82108900,0
1635037200.0,4140.91000000,4145.27000000,4119.73000000,4127.51000000,5298.69310000,1635038999999,21888426.13304000,14943,2767.89450000,11432922.92481600,0
1635039000.0,4127.52000000,4138.91000000,4115.19000000,4130.55000000,3572.38960000,1635040799999,14749988.51341600,10324,1713.36640000,7075108.21367400,0
1635040800.0,4130.54000000,4145.57000000,4123.42000000,4125.32000000,3914.79310000,1635042599999,16182848.39311100,9785,2069.37080000,8555318.40622700,0
1635042600.0,4125.32000000,4143.39000000,4115.63000000,4139.32000000,3671.18650000,1635044399999,15174268.55561700,9391,1560.46700000,6449905.58834000,0
1635044400.0,4139.33000000,4146.53000000,4131.21000000,4134.77000000,4647.18010000,1635046199999,19233978.59425700,9299,2711.68800000,11223403.33832100,0
1635046200.0,4134.77000000,4144.45000000,4128.31000000,4132.89000000,3186.02610000,1635047999999,13176364.56482400,7552,1105.71680000,4574453.90572300,0
1635048000.0,4132.88000000,4136.06000000,4102.43000000,4112.21000000,6372.92980000,1635049799999,26256598.04639200,16200,2269.35620000,9347829.76755900,0
1635049800.0,4112.20000000,4115.26000000,4100.00000000,4107.64000000,3145.59810000,1635051599999,12917805.10949000,9831,1583.49190000,6502556.66772500,0
1635051600.0,4107.64000000,4126.00000000,4100.10000000,4122.04000000,3935.27870000,1635053399999,16173886.63385700,10377,2148.72890000,8833207.89362100,0
1635053400.0,4122.04000000,4123.39000000,4110.11000000,4110.88000000,1889.65070000,1635055199999,7779485.42389800,6536,810.71140000,3337550.74992000,0
1635055200.0,4110.87000000,4122.62000000,4101.77000000,4106.54000000,4481.87720000,1635056999999,18437689.01914000,10923,1875.28620000,7714933.39880900,0
1635057000.0,4106.54000000,4115.91000000,4078.26000000,4090.00000000,7582.07270000,1635058799999,31038883.75961000,21513,3136.33170000,12836191.27756500,0
1635058800.0,4090.00000000,4105.18000000,4076.89000000,4096.31000000,5004.68810000,1635060599999,20478722.85431000,13729,2397.89010000,9814097.93460300,0
1635060600.0,4096.30000000,4107.01000000,4090.00000000,4094.13000000,4428.25470000,1635062399999,18153660.05706900,10078,2083.61350000,8543202.89951500,0
1635062400.0,4094.13000000,4098.99000000,4073.00000000,4086.48000000,5144.52390000,1635064199999,21021693.26627700,13303,2309.68360000,9439032.75663300,0
1635064200.0,4086.48000000,4088.27000000,4070.10000000,4071.20000000,5388.58050000,1635065999999,21988297.62738800,10858,2311.26770000,9431416.73874900,0
